,SNR,"Bagging, Noiseless","Bagging, Non-Robust","Bagging, Robust"
0,-25.0,-7.3340727634059295,9.50116226499845,6.49835803720754
1,-19.444444444444443,-7.3340727634059295,6.0944471644037606,3.7051813637864806
2,-13.88888888888889,-7.3340727634059295,4.031246995327235,0.9694265698219722
3,-8.333333333333336,-7.3340727634059295,0.8684382631979715,-1.6806519622672274
4,-2.7777777777777786,-7.3340727634059295,-1.4705691253659858,-4.105717606133209
5,2.7777777777777786,-7.3340727634059295,-3.899678165800178,-5.811234260576695
6,8.333333333333329,-7.3340727634059295,-5.962752612964831,-6.866818423290671
7,13.888888888888886,-7.3340727634059295,-6.698652807735385,-7.444670838358903
8,19.444444444444443,-7.3340727634059295,-6.85330202700814,-7.451680611819114
9,25.0,-7.3340727634059295,-7.2738170122806824,-7.467530386780085
